timestamp,num_vessels,processing_time_s,total_delay,stdout,stderr
2025-11-21T22:32:08.448694,72,0.06571900000199093,38776,DELAY:38776,
2025-11-21T22:32:08.511002,73,0.060986899999988964,39886,DELAY:39886,
2025-11-21T22:32:08.581566,74,0.06902059999993071,41074,DELAY:41074,
2025-11-21T22:32:08.640953,75,0.05789030000232742,42231,DELAY:42231,
2025-11-21T22:32:08.776655,76,0.10277029999997467,43405,DELAY:43405,
2025-11-21T22:32:08.852357,77,0.07312140000067302,44594,DELAY:44594,
2025-11-21T22:32:08.911180,78,0.05746980000185431,45806,DELAY:45806,
2025-11-21T22:32:08.971563,79,0.05890439999711816,47026,DELAY:47026,
2025-11-21T22:32:09.035506,80,0.06273450000298908,48251,DELAY:48251,
2025-11-21T22:32:09.103632,81,0.06692710000061197,49507,DELAY:49507,
2025-11-21T22:32:09.165275,82,0.060442300000431715,50774,DELAY:50774,
2025-11-21T22:32:09.227346,83,0.06072810000114259,52057,DELAY:52057,
2025-11-21T22:32:09.289093,84,0.06042950000119163,53350,DELAY:53350,
2025-11-21T22:32:09.364393,85,0.07339789999969071,54721,DELAY:54721,
2025-11-21T22:32:09.425621,86,0.05964839999796823,56064,DELAY:56064,
2025-11-21T22:32:09.484348,87,0.05734979999760981,57401,DELAY:57401,
2025-11-21T22:32:09.542986,88,0.05739449999964563,58748,DELAY:58748,
2025-11-21T22:32:09.603028,89,0.058656400000472786,60130,DELAY:60130,
2025-11-21T22:32:09.665544,90,0.061182500001450535,61526,DELAY:61526,
2025-11-21T22:32:09.732271,91,0.0653563000014401,62946,DELAY:62946,
2025-11-21T22:32:09.790476,92,0.05699749999985215,64345,DELAY:64345,
2025-11-21T22:32:09.850174,93,0.058513999996648636,65789,DELAY:65789,
2025-11-21T22:32:09.916422,94,0.06471109999984037,67253,DELAY:67253,
2025-11-21T22:32:09.974566,95,0.05674200000066776,68730,DELAY:68730,
2025-11-21T22:32:10.033698,96,0.0577064999997674,70208,DELAY:70208,
2025-11-21T22:32:10.092115,97,0.05729879999853438,71705,DELAY:71705,
2025-11-21T22:32:10.287185,98,0.19127979999757372,73231,DELAY:73231,
2025-11-21T22:32:10.340317,99,0.05109950000041863,74836,DELAY:74836,
